gender,age,marital_status,disability,residence_district,father_education_level,mother_education_level,household_members,economic_dependency,insurance_type,chronic_disease,academic_program,current_semester,enrolled_courses,weighted_average,failed_course,class_attendance,career_motivation,career_satisfaction,personal_motivation,professor_motivation,considered_career_change,dropout_thought,transportation,commute_time,internet_access,study_space,library_usage,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,work_affects_studies,study_hours,bullying_experience,demotivation,academic_stress,emotional_support,dropout_reason
Male,28,Single,No,Chaclacayo,Secondary,Primary,3,Total,Private,Yes,Software Engineering,9,6 or more,10–12,No,Always,Soon her of collection foot part field control upon.,Satisfied,No,No,No,No,Private,30–60 min,Yes,Yes,Never,Yes,No,Rented,500–1000,1000–2000,Yes,No,10–20,Yes,>10,No,No,Yes,No,
Male,26,Single,No,Santa Rosa,Technical,Primary,1,Total,EsSalud,No,Software Engineering,4,4–5,10–12,No,Always,High huge employee single student economy health strong.,Very unsatisfied,No,Yes,Yes,No,Public,<30 min,Yes,No,Sometimes,Yes,Yes,Rented,<500,<1000,No,No,<10,No,5–10,No,No,No,No,
Female,19,Single,No,Lima Cercado,University,Secondary,1,Minimal,EsSalud,Yes,Software Engineering,10,4–5,10–12,No,Almost always,Current mouth view position Democrat clear to.,Very unsatisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Regularly,No,Yes,Shared,>1000,1000–2000,No,No,<10,Yes,<5,Yes,Yes,No,Yes,
Male,21,Single,No,Comas,University,Secondary,7,Total,EsSalud,No,Systems Engineering,9,4–5,16+,No,Sometimes,Nor drug could image to interesting share contain agreement.,Satisfied,Yes,No,No,Yes,Private,30–60 min,Yes,Yes,Regularly,Yes,No,Rented,0,>4000,No,No,10–20,Yes,<5,No,No,Yes,Yes,Participant message sea upon miss court.
Male,26,Single,No,San Isidro,Secondary,Secondary,6,Minimal,None,No,Systems Engineering,9,4–5,16+,Yes,Always,Book enough crime summer prepare blue fast movie.,Very unsatisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,No,No,Shared,0,<1000,No,No,<10,No,<5,No,No,No,No,
Male,20,Single,No,Punta Negra,Primary,Secondary,4,Do not depend,EsSalud,No,Systems Engineering,3,4–5,13–15,No,Sometimes,Happy respond hand of method.,Satisfied,Yes,Yes,No,Yes,Public,<30 min,Yes,Yes,Never,Yes,Yes,Rented,500–1000,>4000,No,Yes,10–20,Yes,5–10,No,Yes,Yes,No,Such yet material president feel discover field west catch.
Female,19,Single,No,Lince,Primary,Secondary,5,Total,None,No,Software Engineering,6,3,13–15,No,Almost always,Behind middle sing method suddenly choice such.,Very unsatisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Rented,0,>4000,No,Yes,10–20,No,<5,No,No,Yes,No,
Female,34,Married,No,Lurigancho-Chosica,Postgraduate,Secondary,7,Partial,EsSalud,No,Software Engineering,8,4–5,10–12,Yes,Sometimes,Resource human agent understand it beautiful production expect effort treatment.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,Yes,Regularly,No,No,Rented,<500,1000–2000,No,Yes,10–20,No,>10,No,No,Yes,No,
Female,20,Single,No,Independencia,Primary,Primary,3,Minimal,SIS,No,Software Engineering,3,4–5,10–12,No,Almost always,Social sit drop or doctor them personal task do try.,Very unsatisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Never,No,Yes,Rented,0,<1000,No,Yes,<10,Yes,5–10,No,No,No,No,
Female,21,Single,No,Surquillo,Secondary,Secondary,6,Do not depend,SIS,Yes,Systems Engineering,8,4–5,10–12,Yes,Sometimes,Down receive though represent.,Very satisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,>1000,2000–4000,No,Yes,<10,Yes,<5,No,No,No,Yes,
Female,23,Single,No,Jesús María,Secondary,Primary,5,Partial,EsSalud,No,Systems Engineering,4,6 or more,13–15,Yes,Always,Build add camera make detail arrive letter rock.,Unsatisfied,Yes,No,No,No,Private,<30 min,Yes,Yes,Sometimes,No,No,Owned,0,>4000,No,Yes,10–20,Yes,5–10,No,Yes,No,Yes,
Female,21,Single,No,El Agustino,Technical,Secondary,4,Partial,EsSalud,No,Software Engineering,7,3,10–12,No,Almost always,Those if child identify various economic trial.,Satisfied,No,No,No,No,Public,<30 min,Yes,Yes,Never,No,Yes,Rented,<500,1000–2000,No,No,10–20,Yes,<5,No,No,No,No,
Male,27,Single,No,Jesús María,Primary,Technical,5,Do not depend,SIS,No,Software Engineering,7,3,13–15,No,Almost always,Along face particular step whom.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Never,No,Yes,Dormitory,0,<1000,No,Yes,<10,No,<5,No,Yes,No,No,
Female,31,Single,No,Pueblo Libre,Technical,Primary,7,Minimal,EsSalud,Yes,Software Engineering,4,3,13–15,No,Almost always,Bank continue claim nice executive community child happy subject.,Very satisfied,No,Yes,Yes,No,Public,>1 h,Yes,No,Sometimes,No,No,Owned,0,<1000,No,No,<10,Yes,<5,No,No,No,Yes,
Male,18,Single,No,San Juan de Lurigancho,Primary,Secondary,2,Partial,SIS,No,Systems Engineering,2,4–5,13–15,No,Almost always,Paper near improve in quickly require their yeah indicate.,Unsatisfied,Yes,No,Yes,No,Public,30–60 min,Yes,No,Never,Yes,No,Rented,<500,1000–2000,No,Yes,10–20,Yes,<5,No,Yes,No,Yes,
Male,27,Single,No,Lurigancho-Chosica,Primary,Postgraduate,4,Partial,None,No,Software Engineering,8,6 or more,13–15,No,Sometimes,Black join or civil approach.,Satisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,No,Owned,>1000,1000–2000,No,Yes,10–20,Yes,<5,No,No,Yes,No,
Female,31,Single,No,La Victoria,Secondary,Secondary,1,Partial,EsSalud,No,Systems Engineering,4,4–5,10–12,No,Always,Kid out car blue develop pretty environmental player draw since.,Unsatisfied,Yes,Yes,No,Yes,Public,30–60 min,Yes,No,Regularly,No,Yes,Owned,0,2000–4000,Yes,No,>20,No,5–10,No,No,Yes,No,Key respond that run simply would.
Male,24,Single,No,Ate,University,Technical,5,Partial,SIS,No,Systems Engineering,3,4–5,13–15,No,Always,Actually impact group near meet something.,Unsatisfied,No,Yes,Yes,Yes,Public,30–60 min,Yes,Yes,Regularly,Yes,Yes,Owned,<500,<1000,No,No,<10,Yes,5–10,No,No,No,No,But challenge budget structure benefit billion company.
Female,20,Single,No,Punta Negra,Primary,Secondary,6,Do not depend,EsSalud,No,Systems Engineering,7,6 or more,<10,No,Always,Candidate rest go finish today growth edge account gun.,Satisfied,No,Yes,No,Yes,Public,>1 h,Yes,Yes,Regularly,No,No,Shared,500–1000,1000–2000,No,No,<10,No,<5,Yes,No,No,No,Pm fear worry record single trade author pass better over condition but newspaper.
Female,25,Divorced,No,Pueblo Libre,Primary,Primary,4,Total,Private,No,Software Engineering,1,4–5,16+,Yes,Always,Movie middle prepare easy window.,Very satisfied,Yes,No,No,No,Walking,>1 h,Yes,Yes,Never,No,Yes,Rented,0,<1000,No,No,<10,Yes,>10,No,Yes,Yes,Yes,
Male,27,Married,No,Carabayllo,Technical,Secondary,3,Minimal,SIS,No,Software Engineering,10,3,13–15,No,Always,Several lot admit care sense opportunity behind bit memory.,Satisfied,No,No,No,No,Public,<30 min,Yes,No,Sometimes,Yes,No,Owned,<500,>4000,No,Yes,<10,No,5–10,No,Yes,Yes,Yes,
Female,17,Single,No,Carabayllo,Secondary,Secondary,2,Do not depend,EsSalud,No,Software Engineering,9,4–5,13–15,No,Almost always,Then must positive see method.,Satisfied,Yes,No,Yes,Yes,Walking,<30 min,Yes,No,Regularly,No,Yes,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,No,No,No,It whatever he successful what water consider make economy practice community physical current.
Male,21,Single,No,Rímac,Technical,Secondary,4,Partial,SIS,No,Software Engineering,6,4–5,10–12,Yes,Sometimes,Measure however certain toward a spring grow you region medical deal.,Satisfied,Yes,Yes,No,No,Public,<30 min,Yes,Yes,Regularly,No,No,Owned,<500,>4000,No,No,>20,Yes,<5,Yes,Yes,Yes,No,
Male,31,Married,No,Santa Anita,Secondary,Postgraduate,7,Minimal,Private,No,Systems Engineering,6,4–5,13–15,Yes,Almost always,Hit piece set star pay.,Satisfied,Yes,Yes,No,Yes,Public,30–60 min,Yes,No,Sometimes,Yes,Yes,Shared,500–1000,1000–2000,Yes,No,<10,No,5–10,No,Yes,Yes,No,Them others second fish two somebody respond radio.
Male,18,Single,No,Comas,Primary,Technical,5,Total,EsSalud,No,Systems Engineering,5,3,10–12,Yes,Always,Control owner recognize fast.,Satisfied,No,No,No,No,Public,30–60 min,Yes,Yes,Regularly,Yes,No,Rented,0,2000–4000,No,No,>20,No,5–10,Yes,Yes,No,Yes,
Female,28,Single,No,Pachacámac,Secondary,Secondary,6,Total,SIS,Yes,Software Engineering,7,4–5,13–15,Yes,Sometimes,Up care necessary suggest camera first.,Unsatisfied,No,Yes,No,Yes,Private,<30 min,Yes,Yes,Sometimes,Yes,Yes,Owned,<500,<1000,Yes,No,>20,Yes,>10,No,No,No,No,News long find thus prevent employee.
Female,26,Single,No,Ancón,Secondary,Primary,4,Total,EsSalud,No,Systems Engineering,7,4–5,10–12,No,Almost always,Shake seek while three along amount professor determine already.,Satisfied,No,No,No,No,Public,<30 min,Yes,Yes,Never,Yes,No,Owned,500–1000,1000–2000,No,No,<10,No,5–10,No,No,Yes,No,
Male,24,Single,No,Barranco,Primary,Primary,5,Do not depend,SIS,No,Software Engineering,10,3,10–12,Yes,Almost always,Popular buy Mrs score step.,Unsatisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Regularly,No,Yes,Owned,0,1000–2000,No,Yes,10–20,No,<5,No,No,Yes,Yes,Magazine middle Republican third foot recent always area director.
Female,26,Single,No,San Miguel,Secondary,University,5,Minimal,None,No,Software Engineering,3,4–5,13–15,No,Sometimes,Situation affect send throw member eye item full think.,Very satisfied,Yes,Yes,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,Yes,Shared,0,1000–2000,No,Yes,<10,Yes,<5,No,Yes,No,Yes,
Female,17,Single,No,Lurín,Primary,Secondary,7,Partial,EsSalud,No,Software Engineering,5,6 or more,13–15,No,Sometimes,Among stop increase couple vote if information.,Unsatisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Regularly,No,Yes,Rented,500–1000,<1000,No,Yes,<10,Yes,5–10,No,No,No,No,
Male,21,Single,No,Jesús María,University,University,7,Do not depend,EsSalud,Yes,Systems Engineering,1,3,10–12,Yes,Almost always,Summer eat better space south face production.,Satisfied,Yes,No,No,No,Walking,30–60 min,Yes,Yes,Regularly,No,Yes,Owned,500–1000,1000–2000,No,No,<10,Yes,5–10,No,Yes,Yes,Yes,
Male,26,Single,No,Chorrillos,Secondary,Primary,7,Partial,Private,No,Systems Engineering,10,4–5,16+,No,Always,Never force election mother small leader.,Unsatisfied,Yes,No,No,No,Public,>1 h,Yes,Yes,Sometimes,No,No,Shared,0,<1000,No,No,<10,No,<5,No,No,No,Yes,
Male,32,Single,No,Punta Hermosa,Secondary,Secondary,1,Do not depend,EsSalud,Yes,Software Engineering,3,4–5,13–15,No,Sometimes,Admit such himself machine idea Mr president important cost human pressure.,Unsatisfied,No,No,No,No,Public,<30 min,Yes,Yes,Never,No,Yes,Owned,500–1000,1000–2000,No,Yes,<10,Yes,<5,No,Yes,No,No,
Male,33,Single,No,Miraflores,Primary,Secondary,4,Partial,Private,No,Software Engineering,5,3,13–15,No,Almost always,Tend give card adult plan paper.,Satisfied,No,Yes,No,No,Public,30–60 min,No,Yes,Sometimes,Yes,Yes,Owned,0,<1000,No,Yes,10–20,Yes,<5,No,Yes,No,Yes,
Female,31,Single,No,Lima Cercado,Technical,University,6,Partial,SIS,Yes,Software Engineering,6,4–5,10–12,No,Sometimes,Kid administration little president fire join increase social somebody.,Satisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Sometimes,Yes,Yes,Owned,0,<1000,No,No,<10,No,5–10,No,No,No,Yes,
Female,23,Single,No,Jesús María,Technical,Secondary,7,Partial,Private,No,Software Engineering,2,4–5,13–15,No,Always,Actually sign line she talk.,Satisfied,Yes,No,Yes,No,Walking,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,1000–2000,No,Yes,10–20,No,<5,No,No,No,Yes,
Male,27,Single,Yes,San Borja,Primary,Secondary,4,Total,None,No,Software Engineering,8,3,10–12,No,Almost always,Against drop political indicate professor key none.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Owned,0,2000–4000,No,No,<10,No,<5,No,No,Yes,No,
Female,22,Single,No,San Luis,Primary,Technical,4,Minimal,SIS,No,Software Engineering,1,4–5,10–12,No,Never,Memory condition onto discover himself sense current.,Satisfied,No,Yes,Yes,Yes,Public,>1 h,Yes,Yes,Regularly,No,Yes,Rented,0,1000–2000,No,No,10–20,No,5–10,No,No,No,Yes,Reason add until hear together member owner floor give land.
Female,34,Single,No,Breña,Technical,Postgraduate,7,Partial,EsSalud,Yes,Systems Engineering,2,4–5,10–12,Yes,Always,Something history financial hour again identify explain out.,Satisfied,Yes,Yes,Yes,No,Private,30–60 min,Yes,No,Sometimes,No,Yes,Dormitory,500–1000,1000–2000,No,Yes,10–20,No,5–10,No,No,Yes,Yes,
Male,22,Single,No,Pueblo Libre,Technical,Secondary,5,Partial,Private,No,Software Engineering,4,6 or more,10–12,No,Always,Pressure parent in scientist realize put.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Regularly,No,Yes,Owned,>1000,>4000,No,No,<10,No,<5,No,No,Yes,No,
Male,30,Single,No,Punta Negra,Primary,Secondary,6,Total,SIS,No,Software Engineering,5,3,13–15,No,Always,Democratic front either but why thing attorney.,Satisfied,Yes,No,Yes,Yes,Public,>1 h,Yes,Yes,Never,Yes,No,Rented,0,1000–2000,No,No,<10,Yes,<5,No,No,Yes,No,Six program even describe contain talk respond half bank week go education condition.
Male,18,Single,No,Ate,Primary,Primary,5,Partial,EsSalud,No,Systems Engineering,7,4–5,13–15,Yes,Always,Tough involve behind first.,Satisfied,No,No,Yes,No,Public,30–60 min,Yes,No,Sometimes,No,Yes,Owned,0,>4000,No,Yes,<10,Yes,<5,No,No,No,No,
Female,17,Single,No,Rímac,Postgraduate,Secondary,3,Partial,EsSalud,No,Systems Engineering,4,4–5,13–15,No,Always,Agree investment expert other space trouble argue official like store.,Very satisfied,Yes,Yes,No,No,Private,>1 h,Yes,No,Sometimes,Yes,Yes,Shared,<500,1000–2000,No,No,10–20,No,5–10,No,No,No,Yes,
Male,34,Single,No,Chorrillos,Primary,Secondary,3,Total,SIS,No,Software Engineering,8,4–5,13–15,Yes,Always,Any thousand cold significant position.,Very satisfied,Yes,Yes,No,No,Walking,<30 min,Yes,No,Sometimes,No,No,Rented,500–1000,2000–4000,No,Yes,>20,No,<5,No,No,No,No,
Female,21,Single,No,Santa Rosa,Secondary,Secondary,5,Partial,EsSalud,No,Software Engineering,4,4–5,13–15,No,Always,Eat page such value the enjoy true own.,Satisfied,No,No,No,No,Private,30–60 min,Yes,Yes,Regularly,Yes,Yes,Owned,0,2000–4000,No,No,10–20,No,<5,No,No,No,Yes,
Male,27,Single,No,Cieneguilla,Secondary,Primary,6,Partial,EsSalud,No,Software Engineering,1,3,13–15,Yes,Always,Develop drug plan source he anyone factor television those.,Satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Sometimes,No,Yes,Rented,>1000,<1000,No,No,>20,Yes,<5,No,No,No,Yes,
Female,24,Single,No,Lima Cercado,Primary,Secondary,6,Total,SIS,No,Software Engineering,8,6 or more,10–12,No,Always,Attention record hundred case shake someone loss actually own.,Satisfied,No,No,No,No,Walking,30–60 min,Yes,No,Never,No,Yes,Shared,0,>4000,Yes,No,<10,No,<5,No,Yes,No,Yes,
Male,34,Married,No,Pucusana,Secondary,Primary,1,Partial,Private,No,Software Engineering,6,4–5,13–15,No,Almost always,Must few serve benefit without.,Satisfied,No,Yes,Yes,No,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Owned,>1000,2000–4000,No,Yes,10–20,No,<5,No,Yes,Yes,Yes,
Male,30,Single,No,Miraflores,Secondary,University,6,Partial,EsSalud,No,Software Engineering,1,4–5,<10,No,Almost always,Great brother choose model especially third.,Very satisfied,No,No,No,No,Walking,<30 min,Yes,Yes,Sometimes,No,Yes,Dormitory,0,1000–2000,Yes,Yes,<10,Yes,<5,No,No,Yes,No,
Female,27,Single,No,Pucusana,Secondary,University,2,Minimal,EsSalud,No,Systems Engineering,2,3,13–15,Yes,Always,Sure employee same player my little experience loss international.,Satisfied,Yes,No,No,No,Private,>1 h,Yes,Yes,Regularly,No,No,Shared,<500,<1000,Yes,Yes,10–20,Yes,<5,No,Yes,Yes,No,
Male,27,Single,No,Santa Anita,Technical,Technical,2,Minimal,None,No,Software Engineering,8,6 or more,16+,No,Never,All stuff stock friend adult sign guy.,Unsatisfied,Yes,No,Yes,Yes,Public,30–60 min,Yes,Yes,Never,No,Yes,Shared,0,<1000,No,No,10–20,No,5–10,No,No,No,No,One job already investment green evidence important commercial country evening.
Male,24,Married,Yes,La Molina,University,Technical,6,Partial,EsSalud,No,Software Engineering,7,4–5,13–15,Yes,Always,Life medical sound base game process white.,Very satisfied,Yes,No,No,Yes,Public,<30 min,Yes,Yes,Regularly,No,Yes,Rented,<500,1000–2000,No,No,10–20,No,<5,No,No,No,No,Send citizen tend apply service occur whether.
Male,33,Single,No,Ate,Primary,Primary,3,Do not depend,EsSalud,No,Software Engineering,1,4–5,10–12,No,Almost always,More age him manager product why.,Unsatisfied,No,No,No,No,Public,30–60 min,Yes,No,Regularly,No,Yes,Dormitory,0,1000–2000,Yes,No,<10,Yes,<5,No,No,No,No,
Female,24,Married,No,Pueblo Libre,Primary,Technical,7,Partial,EsSalud,No,Software Engineering,8,4–5,13–15,Yes,Always,Leader edge remember add security door type hour argue.,Satisfied,No,Yes,No,No,Public,>1 h,Yes,Yes,Sometimes,No,No,Rented,0,<1000,No,No,>20,No,<5,No,No,No,Yes,
Female,17,Married,No,Chaclacayo,University,Primary,2,Minimal,EsSalud,No,Systems Engineering,2,4–5,10–12,No,Always,Pretty man couple and evidence station million.,Very satisfied,Yes,No,No,No,Private,>1 h,Yes,Yes,Sometimes,No,Yes,Owned,0,2000–4000,No,No,<10,Yes,5–10,No,No,Yes,Yes,
Male,33,Single,No,Pachacámac,Secondary,Secondary,4,Partial,SIS,Yes,Software Engineering,2,3,13–15,Yes,Sometimes,Future door religious toward every.,Very satisfied,No,Yes,Yes,Yes,Public,30–60 min,Yes,Yes,Regularly,No,No,Rented,0,<1000,No,Yes,<10,Yes,<5,No,Yes,No,No,Early expect tree top fish sort health develop section region.
Male,21,Single,No,San Martín de Porres,University,Primary,6,Total,SIS,No,Systems Engineering,4,4–5,10–12,Yes,Sometimes,Budget sit administration must where wind.,Very unsatisfied,Yes,No,No,No,Private,30–60 min,Yes,No,Regularly,No,Yes,Rented,0,1000–2000,No,Yes,>20,No,<5,No,No,No,Yes,
Male,18,Single,No,Puente Piedra,Secondary,Secondary,5,Minimal,EsSalud,No,Systems Engineering,10,4–5,16+,Yes,Almost always,Candidate traditional public group always budget.,Satisfied,Yes,No,Yes,No,Public,<30 min,Yes,Yes,Sometimes,Yes,No,Shared,0,<1000,No,Yes,<10,No,5–10,No,No,Yes,Yes,
Male,27,Single,Yes,Lurín,Secondary,University,2,Total,Private,No,Systems Engineering,10,4–5,10–12,No,Sometimes,Brother live city administration determine none visit night company number.,Satisfied,Yes,No,No,Yes,Walking,<30 min,Yes,Yes,Regularly,No,No,Rented,500–1000,1000–2000,No,No,<10,Yes,5–10,No,No,No,Yes,Star under these effect form million reality public wrong stand accept wish.
Male,26,Single,No,San Martín de Porres,Primary,Primary,7,Total,Private,Yes,Systems Engineering,3,4–5,16+,No,Always,Partner life grow ten can scene indicate boy machine team.,Unsatisfied,Yes,Yes,No,No,Walking,30–60 min,Yes,Yes,Regularly,Yes,Yes,Rented,0,1000–2000,No,Yes,>20,No,>10,No,No,No,Yes,
Female,23,Single,No,La Molina,Primary,Primary,1,Minimal,None,No,Software Engineering,10,6 or more,13–15,No,Always,Strategy decade forward land every ball of.,Very satisfied,No,Yes,No,No,Public,>1 h,Yes,Yes,Sometimes,No,Yes,Owned,0,2000–4000,Yes,Yes,>20,No,5–10,No,Yes,Yes,No,
Male,29,Single,No,Santiago de Surco,Secondary,Technical,5,Partial,EsSalud,Yes,Systems Engineering,2,4–5,13–15,No,Sometimes,Me anyone sit ok writer create rather field.,Satisfied,Yes,No,Yes,No,Public,>1 h,Yes,No,Regularly,Yes,Yes,Dormitory,0,>4000,No,Yes,10–20,Yes,5–10,No,No,Yes,Yes,
Female,29,Single,No,Lima Cercado,Secondary,Primary,3,Total,EsSalud,No,Software Engineering,9,3,13–15,Yes,Never,Know discussion offer other.,Satisfied,Yes,No,No,No,Public,<30 min,Yes,Yes,Sometimes,No,No,Shared,0,1000–2000,No,No,>20,Yes,<5,No,Yes,No,No,
Male,29,Single,No,Rímac,University,Postgraduate,7,Partial,SIS,No,Software Engineering,6,4–5,10–12,No,Almost always,Seem guy speech letter.,Unsatisfied,Yes,Yes,No,No,Public,<30 min,Yes,No,Regularly,No,No,Shared,0,>4000,No,Yes,<10,Yes,5–10,No,Yes,Yes,No,
Male,24,Divorced,No,San Isidro,Secondary,Primary,3,Partial,EsSalud,Yes,Systems Engineering,5,3,<10,Yes,Always,Mention at floor point arm bar occur especially watch security foot.,Very satisfied,Yes,No,No,No,Public,30–60 min,Yes,No,Regularly,No,Yes,Rented,0,2000–4000,Yes,No,10–20,Yes,5–10,No,No,Yes,Yes,
Female,20,Single,No,Puente Piedra,Primary,Secondary,2,Partial,Private,No,Software Engineering,10,3,13–15,No,Always,Page recent significant federal seat central media effect.,Satisfied,No,No,Yes,No,Public,30–60 min,Yes,No,Sometimes,No,Yes,Owned,0,2000–4000,Yes,No,<10,No,5–10,No,Yes,No,No,
Male,31,Single,No,Punta Hermosa,Secondary,Primary,6,Total,EsSalud,No,Software Engineering,4,4–5,13–15,No,Sometimes,Lead actually marriage government mouth training must reduce through.,Satisfied,No,Yes,Yes,Yes,Public,<30 min,Yes,Yes,Sometimes,No,No,Shared,0,2000–4000,No,No,10–20,Yes,5–10,Yes,No,Yes,No,Card western more maintain research season.
Male,24,Divorced,No,San Miguel,Secondary,Primary,6,Partial,Private,No,Software Engineering,9,4–5,13–15,Yes,Almost always,Spring respond great road while majority change thank.,Very satisfied,No,Yes,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Rented,0,<1000,No,Yes,>20,Yes,5–10,No,No,No,Yes,
Male,26,Single,No,Barranco,University,Secondary,6,Partial,EsSalud,No,Systems Engineering,3,4–5,13–15,No,Sometimes,Recent democratic beautiful face health under effect interest.,Satisfied,Yes,Yes,Yes,No,Public,<30 min,No,Yes,Regularly,No,Yes,Rented,<500,<1000,No,Yes,<10,Yes,5–10,No,Yes,Yes,No,
Female,17,Single,No,Pucusana,Secondary,Secondary,4,Minimal,SIS,No,Software Engineering,9,4–5,10–12,No,Always,Professor control start claim your camera color approach trade.,Very satisfied,No,Yes,No,No,Public,<30 min,Yes,Yes,Regularly,Yes,No,Owned,0,<1000,No,Yes,<10,Yes,<5,Yes,Yes,No,No,
Male,25,Married,No,Independencia,Primary,Primary,2,Partial,SIS,No,Software Engineering,5,4–5,13–15,Yes,Almost always,Amount form site strong environment garden.,Very satisfied,No,Yes,No,No,Public,30–60 min,Yes,Yes,Sometimes,Yes,Yes,Rented,0,2000–4000,No,Yes,<10,Yes,<5,No,No,No,No,
Female,19,Single,No,Chorrillos,Secondary,Primary,4,Minimal,EsSalud,No,Software Engineering,4,4–5,13–15,No,Always,Indicate though amount pull community.,Satisfied,No,Yes,Yes,No,Public,<30 min,Yes,Yes,Regularly,No,Yes,Shared,<500,1000–2000,No,Yes,<10,No,5–10,No,No,No,Yes,
Female,21,Single,No,San Juan de Miraflores,Primary,Technical,4,Minimal,Private,No,Software Engineering,8,6 or more,13–15,No,Almost always,Open long discover response tell.,Satisfied,Yes,Yes,No,No,Public,>1 h,Yes,Yes,Regularly,Yes,No,Shared,0,1000–2000,No,No,>20,Yes,>10,No,No,Yes,Yes,
Male,20,Single,No,Santa María del Mar,Primary,Secondary,2,Total,EsSalud,No,Systems Engineering,4,4–5,10–12,Yes,Always,A walk prove reduce line bad husband.,Satisfied,No,Yes,No,No,Private,>1 h,Yes,Yes,Sometimes,No,No,Dormitory,<500,>4000,Yes,Yes,<10,Yes,5–10,No,No,No,Yes,
Male,31,Single,No,Villa María del Triunfo,Secondary,Primary,3,Minimal,EsSalud,No,Software Engineering,6,3,13–15,No,Almost always,Western these must thousand how general hard thousand.,Satisfied,No,No,Yes,No,Public,30–60 min,Yes,Yes,Sometimes,No,No,Owned,0,1000–2000,No,No,<10,Yes,5–10,No,No,No,Yes,
Female,29,Single,No,Rímac,Postgraduate,Primary,5,Total,None,No,Software Engineering,6,4–5,10–12,No,Always,Tough force international history tough method energy line watch.,Very satisfied,Yes,No,No,Yes,Public,30–60 min,Yes,Yes,Sometimes,Yes,No,Owned,0,2000–4000,No,No,<10,No,5–10,No,No,No,No,Maybe environmental change serve hair program hotel cold enter word fear past result.
Male,30,Married,No,Cieneguilla,Primary,Technical,7,Minimal,SIS,No,Software Engineering,8,4–5,13–15,No,Almost always,Final very someone during suggest rich direction change senior change.,Unsatisfied,Yes,Yes,No,Yes,Public,<30 min,Yes,No,Regularly,No,Yes,Owned,0,2000–4000,No,No,<10,Yes,<5,No,Yes,No,Yes,Trouble girl although hour test choice choice scientist kind not.
Female,31,Single,No,Surquillo,Secondary,University,7,Total,None,No,Systems Engineering,9,4–5,13–15,Yes,Almost always,Specific west forward second talk whom local night sport.,Very satisfied,Yes,Yes,Yes,No,Private,30–60 min,No,Yes,Sometimes,Yes,No,Owned,0,1000–2000,Yes,No,<10,Yes,<5,No,No,Yes,No,
Female,19,Single,No,Santa María del Mar,University,University,7,Do not depend,SIS,No,Software Engineering,5,4–5,13–15,Yes,Always,Create major support girl oil certainly.,Satisfied,Yes,No,No,No,Public,30–60 min,Yes,No,Sometimes,No,No,Rented,0,<1000,Yes,Yes,10–20,No,<5,No,Yes,Yes,No,
Male,28,Single,No,Puente Piedra,Primary,Secondary,2,Do not depend,SIS,No,Software Engineering,3,4–5,10–12,No,Almost always,Sit option instead up part think person.,Satisfied,Yes,Yes,Yes,No,Public,>1 h,Yes,Yes,Sometimes,Yes,Yes,Rented,0,1000–2000,No,No,>20,No,5–10,No,Yes,Yes,No,
Male,18,Single,No,Santiago de Surco,Primary,Secondary,2,Total,Private,No,Systems Engineering,6,4–5,13–15,No,Sometimes,Among job order foot drive compare brother.,Satisfied,No,Yes,Yes,No,Public,>1 h,Yes,Yes,Regularly,No,No,Dormitory,0,2000–4000,No,No,10–20,Yes,<5,No,Yes,Yes,Yes,
Male,18,Single,No,Pachacámac,Primary,University,4,Partial,SIS,No,Software Engineering,2,4–5,13–15,Yes,Always,American large them pattern unit everybody require family.,Very satisfied,Yes,No,No,No,Walking,<30 min,Yes,Yes,Never,Yes,Yes,Owned,500–1000,2000–4000,No,Yes,<10,Yes,5–10,No,No,No,Yes,
Female,18,Single,Yes,Villa María del Triunfo,Primary,Primary,6,Minimal,None,No,Systems Engineering,10,6 or more,13–15,No,Almost always,True story activity moment friend call TV.,Satisfied,Yes,Yes,Yes,No,Public,30–60 min,Yes,Yes,Regularly,Yes,No,Owned,500–1000,2000–4000,No,No,<10,Yes,<5,No,Yes,Yes,No,
